"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"1","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Ashley J.","Chair is comfortable. It’s easily tilts which makes me nervous sometimes b/c I almost feel like I’ll tilt too far back & fall BUT that has NOT happened. Chair got 3 stars b/c it does not roll smoothly although it does have wheels. I have tile floors no carpet & I still feel like the chair does not roll like it should. It was cost efficient & matches perfect with my small desk so it’s still a WIN for me. I do not need to roll anyway 😂","Verified Purchase","Reviewed in the United States on 14 October 2023","4.3 out of 5 stars"
"2","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Kew","I got this chair to replace my old one. So far its worked pretty well. I did have one issue with assembly because I put the base of the chair on backxwards (the part with the lever), so the chair would tilt forward instead of backwards, so make sure to put it on like in the picture on this product page. It was also a little difficult to screw stuff on because the holes werent very well alligned, but once I got it together, it was sturdy. Spins well, and tilts well (once I put the base on correctly).","Verified Purchase","Reviewed in the United States on 15 April 2023","3.0 out of 5 stars"
"3","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","José peña","The media could not be loaded.
                
            
                
            
        
    
    
 El tamaño y comodidad ☺️☺️🥰🥰","Verified Purchase","Reviewed in the United States on 22 January 2024","4.0 out of 5 stars"
"4","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Jesse Sampley","Hardware loosened over use, and little did I know one of the bolts dropped out at some point, and it just broke with me in it todays November 12 got it delivered October 6th","Verified Purchase","Reviewed in the United States on 12 November 2023","5.0 out of 5 stars"
"5","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amazon Customer","I love this chair. It is the perfect size for my height. I am 5’0 so the chair fits me perfectly, and it is not bulky at all. If you’re looking for a chair that doesn’t take up all that space then this would be perfect. My husband is 5’8 normal built, and it was too small for him, so I would not recommend this chair for a tall heavy person because it would be too snug. It would also recommend it for a child’s/teenagers study desk too.","Verified Purchase","Reviewed in the United States on 18 July 2023","3.0 out of 5 stars"
"6","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amazon Customer","Ordered this chair for my daughter. Put together easily and works wonderful. I ordered one chair for myself, while putting it together one of the screws on the seat would not go all the way in. I returned it ordered a second one and and two screws on the bottom of the seat would not go all the way in and would fall out. I return this one too. I will be ordering a different brand.","Verified Purchase","Reviewed in the United States on 13 January 2024","5.0 out of 5 stars"
"7","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","Amazon Customer","I bought this chair for my wife.Pros: Simple assembly with tool included (hex key). Assembly time was 30 minutes with one cup of coffee.  Looks nice. Now here is the primary kudo, 1x fastener each and plastic cap were included as spares, something I am beginning to see more often - nice.Cons: Instructions could have been more verbose, I myself didn't need it, but I could see some people would. The plastic plugs that cover the four screws on the back of the chair continuously fall out. Simple solution, a small dab of hot glue, just small dab, so you can take them back out if ever needed.  I imagine that Elmers Glue (a small dab) would do the same trick.Overall, the price of $39.99 made it a sweet deal if it lasts for several years. The price is why I bumped it up to 5 stars. My office chair is mountain gorilla-butt strength and runs over $250.00.","Verified Purchase","Reviewed in the United States on 2 February 2023","5.0 out of 5 stars"
"8","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","RangerDOS","This is a professional looking, comfortable chair. I use it with a variable height desk, so I like that the wheels move smoothly as I push it back or forward. Good lumbar support is a plus.","Verified Purchase","Reviewed in the United States on 21 February 2023","2.0 out of 5 stars"
"9","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","R S Cobblestone","Easy to set up but Im 5'2 110 pounds and the chair seems a bit small.","Verified Purchase","Reviewed in the United States on 30 April 2023","5.0 out of 5 stars"
"10","chair","FDW (Factory Direct Wholesale) VN-H03-White Executive Chair, for Office, Rotating, Lumbar Support, Adjustable Arms, Mesh, Ergonomic Design, 22.0 x 23.4 x 39.4 inches (56 x 59.5 x 100.5 cm)","R S Cobblestone","Item arrived dirty and trying to clean it has ruined the fabric","Verified Purchase","Reviewed in the United States on 15 October 2023","4.0 out of 5 stars"
